Resort Name,Package Name,Package Inclusion,Apply Countries,Package Period - From,Package Period - To,Booking Period - From,Booking Period - To,Blackout Periods,Villa / Room Type,Stay Duration (Nights),Basic Occupancy Count: Adult,Basic Occupancy Count: Teenage,Basic Occupancy Count: Child,Maximum Occupancy (Including Basic),Meal Plan,Transfer,Package Cost,Package Value,Extra Person Rate per Night: Adult,Extra Person Rate per Night: Teenage,Extra Person Rate per Night: Child
NIYAMA PRIVATE ISLANDS MALDIVES - PACKAGE,3 NIGHTS MIDDLE EAST PACKAGE - BEACH VILLA (SEAPLANE),"Exclusive Benefits: One-time in-villa breakfast, One-time Shisha experience. Other Complimentary Services: Bicycles, Tea & Nespresso, Thakuru service, Popcorn, Daily ice cream, Water, Slippers, WI-FI, Yoga, Active facilities, Fitness facility, Scheduled activities, Tennis court, Surfing at Vodi, Library, Steam & sauna, Non-motorized water sports, Snorkeling equipment. Special Occasion Benefits: Birthday benefits apply. Package includes return transfers for the basic occupancy.",Middle East & GCC Market,01/08/2025,30/09/2025,01/08/2025,30/09/2025,Not specified,Beach Villa,3,2,0,0,Not specified,Half Board,Seaplane,3950,5220,206,Not specified,61
NIYAMA PRIVATE ISLANDS MALDIVES - PACKAGE,3 NIGHTS MIDDLE EAST PACKAGE - BEACH VILLA (SEAPLANE),"Exclusive Benefits: One-time in-villa breakfast, One-time Shisha experience. Other Complimentary Services: Bicycles, Tea & Nespresso, Thakuru service, Popcorn, Daily ice cream, Water, Slippers, WI-FI, Yoga, Active facilities, Fitness facility, Scheduled activities, Tennis court, Surfing at Vodi, Library, Steam & sauna, Non-motorized water sports, Snorkeling equipment. Special Occasion Benefits: Birthday benefits apply. Package includes return transfers for the basic occupancy.",Middle East & GCC Market,01/10/2025,22/12/2025,01/08/2025,30/09/2025,Not specified,Beach Villa,3,2,0,0,Not specified,Half Board,Seaplane,4400,5820,206,Not specified,61
NIYAMA PRIVATE ISLANDS MALDIVES - PACKAGE,3 NIGHTS MIDDLE EAST PACKAGE - DELUXE BEACH VILLA (SEAPLANE),"Exclusive Benefits: One-time in-villa breakfast, One-time Shisha experience. Other Complimentary Services: Bicycles, Tea & Nespresso, Thakuru service, Popcorn, Daily ice cream, Water, Slippers, WI-FI, Yoga, Active facilities, Fitness facility, Scheduled activities, Tennis court, Surfing at Vodi, Library, Steam & sauna, Non-motorized water sports, Snorkeling equipment. Special Occasion Benefits: Birthday benefits apply. Package includes return transfers for the basic occupancy.",Middle East & GCC Market,01/08/2025,30/09/2025,01/08/2025,30/09/2025,Not specified,Deluxe Beach Villa,3,2,0,0,Not specified,Half Board,Seaplane,4400,5820,206,Not specified,61
NIYAMA PRIVATE ISLANDS MALDIVES - PACKAGE,3 NIGHTS MIDDLE EAST PACKAGE - DELUXE BEACH VILLA (SEAPLANE),"Exclusive Benefits: One-time in-villa breakfast, One-time Shisha experience. Other Complimentary Services: Bicycles, Tea & Nespresso, Thakuru service, Popcorn, Daily ice cream, Water, Slippers, WI-FI, Yoga, Active facilities, Fitness facility, Scheduled activities, Tennis court, Surfing at Vodi, Library, Steam & sauna, Non-motorized water sports, Snorkeling equipment. Special Occasion Benefits: Birthday benefits apply. Package includes return transfers for the basic occupancy.",Middle East & GCC Market,01/10/2025,22/12/2025,01/08/2025,30/09/2025,Not specified,Deluxe Beach Villa,3,2,0,0,Not specified,Half Board,Seaplane,4625,6120,206,Not specified,61
NIYAMA PRIVATE ISLANDS MALDIVES - PACKAGE,3 NIGHTS MIDDLE EAST PACKAGE - BEACH POOL VILLA (SEAPLANE),"Exclusive Benefits: One-time Complimentary Floating Breakfast, One-time Shisha experience. Other Complimentary Services: Bicycles, Tea & Nespresso, Thakuru service, Popcorn, Daily ice cream, Water, Slippers, WI-FI, Yoga, Active facilities, Fitness facility, Scheduled activities, Tennis court, Surfing at Vodi, Library, Steam & sauna, Non-motorized water sports, Snorkeling equipment. Special Occasion Benefits: Birthday benefits apply. Package includes return transfers for the basic occupancy.",Middle East & GCC Market,01/08/2025,30/09/2025,01/08/2025,30/09/2025,Not specified,Beach Pool Villa,3,2,0,0,Not specified,Half Board,Seaplane,4510,5970,206,Not specified,61
NIYAMA PRIVATE ISLANDS MALDIVES - PACKAGE,3 NIGHTS MIDDLE EAST PACKAGE - BEACH POOL VILLA (SEAPLANE),"Exclusive Benefits: One-time Complimentary Floating Breakfast, One-time Shisha experience. Other Complimentary Services: Bicycles, Tea & Nespresso, Thakuru service, Popcorn, Daily ice cream, Water, Slippers, WI-FI, Yoga, Active facilities, Fitness facility, Scheduled activities, Tennis court, Surfing at Vodi, Library, Steam & sauna, Non-motorized water sports, Snorkeling equipment. Special Occasion Benefits: Birthday benefits apply. Package includes return transfers for the basic occupancy.",Middle East & GCC Market,01/10/2025,22/12/2025,01/08/2025,30/09/2025,Not specified,Beach Pool Villa,3,2,0,0,Not specified,Half Board,Seaplane,4960,6570,206,Not specified,61
NIYAMA PRIVATE ISLANDS MALDIVES - PACKAGE,3 NIGHTS MIDDLE EAST PACKAGE - DELUXE BEACH POOL VILLA (SEAPLANE),"Exclusive Benefits: One-time Complimentary Floating Breakfast, One-time Shisha experience. Other Complimentary Services: Bicycles, Tea & Nespresso, Thakuru service, Popcorn, Daily ice cream, Water, Slippers, WI-FI, Yoga, Active facilities, Fitness facility, Scheduled activities, Tennis court, Surfing at Vodi, Library, Steam & sauna, Non-motorized water sports, Snorkeling equipment. Special Occasion Benefits: Birthday benefits apply. Package includes return transfers for the basic occupancy.",Middle East & GCC Market,01/08/2025,30/09/2025,01/08/2025,30/09/2025,Not specified,Deluxe Beach Pool Villa,3,2,0,0,Not specified,Half Board,Seaplane,5170,6570,206,Not specified,61
NIYAMA PRIVATE ISLANDS MALDIVES - PACKAGE,3 NIGHTS MIDDLE EAST PACKAGE - DELUXE BEACH POOL VILLA (SEAPLANE),"Exclusive Benefits: One-time Complimentary Floating Breakfast, One-time Shisha experience. Other Complimentary Services: Bicycles, Tea & Nespresso, Thakuru service, Popcorn, Daily ice cream, Water, Slippers, WI-FI, Yoga, Active facilities, Fitness facility, Scheduled activities, Tennis court, Surfing at Vodi, Library, Steam & sauna, Non-motorized water sports, Snorkeling equipment. Special Occasion Benefits: Birthday benefits apply. Package includes return transfers for the basic occupancy.",Middle East & GCC Market,01/10/2025,22/12/2025,01/08/2025,30/09/2025,Not specified,Deluxe Beach Pool Villa,3,2,0,0,Not specified,Half Board,Seaplane,5530,7020,206,Not specified,61
NIYAMA PRIVATE ISLANDS MALDIVES - PACKAGE,3 NIGHTS MIDDLE EAST PACKAGE - OVER WATER POOL VILLA (SEAPLANE),"Exclusive Benefits: One-time Complimentary Floating Breakfast, One-time Shisha experience. Other Complimentary Services: Bicycles, Tea & Nespresso, Thakuru service, Popcorn, Daily ice cream, Water, Slippers, WI-FI, Yoga, Active facilities, Fitness facility, Scheduled activities, Tennis court, Surfing at Vodi, Library, Steam & sauna, Non-motorized water sports, Snorkeling equipment. Special Occasion Benefits: Birthday benefits apply. Package includes return transfers for the basic occupancy.",Middle East & GCC Market,01/08/2025,30/09/2025,01/08/2025,30/09/2025,Not specified,Over Water Pool Villa,3,2,0,0,Not specified,Half Board,Seaplane,4510,5970,206,Not specified,61
NIYAMA PRIVATE ISLANDS MALDIVES - PACKAGE,3 NIGHTS MIDDLE EAST PACKAGE - OVER WATER POOL VILLA (SEAPLANE),"Exclusive Benefits: One-time Complimentary Floating Breakfast, One-time Shisha experience. Other Complimentary Services: Bicycles, Tea & Nespresso, Thakuru service, Popcorn, Daily ice cream, Water, Slippers, WI-FI, Yoga, Active facilities, Fitness facility, Scheduled activities, Tennis court, Surfing at Vodi, Library, Steam & sauna, Non-motorized water sports, Snorkeling equipment. Special Occasion Benefits: Birthday benefits apply. Package includes return transfers for the basic occupancy.",Middle East & GCC Market,01/10/2025,22/12/2025,01/08/2025,30/09/2025,Not specified,Over Water Pool Villa,3,2,0,0,Not specified,Half Board,Seaplane,4960,6570,206,Not specified,61
