Resort Name,Package Name,Package Inclusion,Apply Countries,Package Period - From,Package Period - To,Booking Period - From,Booking Period - To,Blackout Periods,Villa / Room Type,Stay Duration (Nights),Basic Occupancy Count: Adult,Basic Occupancy Count: Teenage,Basic Occupancy Count: Child,Maximum Occupancy (Including Basic),Meal Plan,Transfer,Package Cost,Package Value,Extra Person Rate per Night: Adult,Extra Person Rate per Night: Teenage,Extra Person Rate per Night: Child
3 NIGHTS MIDDLE EAST PACKAGE - Beach Villa (Seaplane),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Beach Villa,3,2,0,0,2,Half Board,Seaplane,1770,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Deluxe Beach Villa (Seaplane),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Deluxe Beach Villa,3,2,0,0,2,Half Board,Seaplane,2070,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Beach Pool Villa (Seaplane),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Beach Pool Villa,3,2,0,0,2,Half Board,Seaplane,2770,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Deluxe Beach Pool Villa (Seaplane),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Deluxe Beach Pool Villa,3,2,0,0,2,Half Board,Seaplane,3370,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Over Water Pool Villa (Seaplane),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Over Water Pool Villa,3,2,0,0,2,Half Board,Seaplane,3770,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Deluxe Over Water Pool Villa (Seaplane),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Deluxe Over Water Pool Villa,3,2,0,0,2,Half Board,Seaplane,4470,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Family Beach Pool Villa (Seaplane),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Family Beach Pool Villa,3,2,0,0,4,Half Board,Seaplane,4370,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Deluxe Family Beach Pool Villa (Seaplane),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Deluxe Family Beach Pool Villa,3,2,0,0,4,Half Board,Seaplane,5270,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - One Bedroom Ocean Pool Pavilion (Seaplane),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,One Bedroom Ocean Pool Pavilion,3,2,0,0,4,Half Board,Seaplane,5670,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - One Bedroom Beach Pool Pavilion (Seaplane),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,One Bedroom Beach Pool Pavilion,3,2,0,0,4,Half Board,Seaplane,5070,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Two Bedroom Ocean Pool Pavilion (Seaplane),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Two Bedroom Ocean Pool Pavilion,3,2,0,0,6,Half Board,Seaplane,7870,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Two Bedroom Beach Pool Pavilion (Seaplane),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Two Bedroom Beach Pool Pavilion,3,2,0,0,6,Half Board,Seaplane,7270,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Three Bedroom Beach Pool Pavilion (Seaplane),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Three Bedroom Beach Pool Pavilion,3,2,0,0,8,Half Board,Seaplane,9670,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Beach Villa (Domestic Flight + Speedboat),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Beach Villa,3,2,0,0,2,Half Board,Domestic Flight + Speedboat,1770,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Deluxe Beach Villa (Domestic Flight + Speedboat),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Deluxe Beach Villa,3,2,0,0,2,Half Board,Domestic Flight + Speedboat,2070,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Beach Pool Villa (Domestic Flight + Speedboat),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Beach Pool Villa,3,2,0,0,2,Half Board,Domestic Flight + Speedboat,2770,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Deluxe Beach Pool Villa (Domestic Flight + Speedboat),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Deluxe Beach Pool Villa,3,2,0,0,2,Half Board,Domestic Flight + Speedboat,3370,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Over Water Pool Villa (Domestic Flight + Speedboat),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Over Water Pool Villa,3,2,0,0,2,Half Board,Domestic Flight + Speedboat,3770,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Deluxe Over Water Pool Villa (Domestic Flight + Speedboat),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Deluxe Over Water Pool Villa,3,2,0,0,2,Half Board,Domestic Flight + Speedboat,4470,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Family Beach Pool Villa (Domestic Flight + Speedboat),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Family Beach Pool Villa,3,2,0,0,4,Half Board,Domestic Flight + Speedboat,4370,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - Deluxe Family Beach Pool Villa (Domestic Flight + Speedboat),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,Deluxe Family Beach Pool Villa,3,2,0,0,4,Half Board,Domestic Flight + Speedboat,5270,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - One Bedroom Ocean Pool Pavilion (Domestic Flight + Speedboat),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,One Bedroom Ocean Pool Pavilion,3,2,0,0,4,Half Board,Domestic Flight + Speedboat,5670,Not specified,Not specified,Not specified,Not specified
3 NIGHTS MIDDLE EAST PACKAGE - One Bedroom Beach Pool Pavilion (Domestic Flight + Speedboat),Accommodation, Half Board (Breakfast & Dinner), Return Transfer, Resort Activities,Middle East & GCC Market,01/08/2025,30/09/2025,Not specified,One Bedroom Beach Pool Pavilion,3,2,0,0,4,Half Board,Domestic Flight + Speedboat,5070,Not specified,Not specified,Not specified,Not specified
